id,concepts,intents,questionparentid,name,answer,
d:67,npm,analysis,c:12,receiving error: 'error: ssl error: self_signed_cert_in_chain' while using npm,running the following helped resolve the issue:npm config set strict-ssl false.i cannot comment on whether it will cause any other issues at this point in time. hope it helps.,
d:68,npm,analysis,c:12,nodejs - error installing with npm,"as commented below you may not need to install vs on windows, check this out:https://github.com/nodejs/node-gyp/issues/629#issuecomment-153196245",
d:69,npm,analysis,c:12,why does npm install say i have unmet dependencies?,"i believe it is because the dependency resolution is a bit broken, see https://github.com/isaacs/npm/issues/1341#issuecomment-20634338",
d:70,npm,analysis,c:12,cannot install packages using npm in ubuntu,sudo apt-get install nodejs-legacy,
d:71,npm,analysis,c:12,"npm install errors with error: enoent, chmod","ok it looks like npm is using your .gitignore as a base for the .npmignore file, and thus ignores /lib. if you add a blank .npmignore file into the root of your application, everything should work.
more info on this behaviour here: https://docs.npmjs.com/misc/developers#keeping-files-out-of-your-package",
d:72,npm,analysis,c:12,"npm stuck giving the same error eisdir: illegal operation on a directory, read at error (native)","i ran into the same problem while i was changing some npm settings. i did a mistake with one npm config set command and this added a line referring to a non-existing directory to c:\users\{user}\.npmrc. after i deleted that line manually from .npmrc, the problem was gone.",
d:73,npm,analysis,c:12,npm install error: fetch fail error,"this was resolved by running the following command:sudo npm update npm -g
",
d:74,npm,analysis,c:12,error building on npm,"i've got the solution, the problem was a incompatibility between webpack and optimize-css-assets-webpack-plugin. downgrading the package to v3.2.0 got it fixed.",
d:75,npm,analysis,c:12,“couldn't read dependencies” error with npm,"try to add this:""private"": true,",
d:76,ubuntu,application,c:13,how do i add a user in ubuntu with home directory? ,sudo useradd -m myuser,
d:77,ubuntu,application,c:13,how can i move postgresql data to another directory on ubuntu over amazon ec2?,copy the datadir while retaining permissions - use cp -arv.,
d:78,ubuntu,analysis,c:13,"ubuntu 12.04 can't restart following the standard reboot procedure: 
    click system button in upper right corner > shut down... > restart button
it ends up in a black screen.","the reason for the problem could be a bios issue or the hardware setup of the system 1) enter the command in the terminal    sudo gedit /etc/default/grub 2) find grub_cmdline_linux="""" and change itto grub_cmdline_linux=”reboot=efi” 3) save the file and run the command: sudo update-grub
",
d:79,ubuntu,analysis,c:13,"by default, ubuntu 12.04 doesn't have enabled options to show desktop except using shortcut keys ctrl+super+d (the super button is the windows button in the most cases)","show desktop in ubuntu 12.04 via compizconfig settings manager (the first way) 1) install and run compizconfig settings manager 2) click on desktop category on left sidebar > click on ubuntu unity plugin > select the experimental tab 3) mark option show ""desktop icon"" in the launcher the desktop icon will appear in the unity launcher and you can click on it in order to show desktop.",
d:80,ubuntu,analysis,c:13,"after enabling unity launcher auto hide, it doesn't show when cursor is moved to the left edge of the screen in ubuntu 12.04.","the trick here is not how hard the mouse cursor is moved to the left screen edge but how far (or fast). here are the steps that could help you in using the launcher in the way you like:1) install compizconfig settings manager (known by its shortname ccsm) 2) after the installation, start compizconfig settings manager 3) go to desktop > ubuntu unity plugin > experimental tab 4) find the option ""launcher reveal pressure 5) default value is 20, but you can change it to any lower",
d:81,ubuntu,analysis,c:13,"ubuntu 12.04 doesn't have enabled hibernate feature by default, but you can enable it if your hardware supports hibernation.","1) create file /etc/polkit-1/localauthority/50-local.d/com.ubuntu.desktop.pkla 2) add the content: [re-enable hibernate by default] identity=unix-user:* action=org.freedesktop.upower.hibernate resultactive=yes 3) save the file, restart the machine and new menu item should appear under the system button in upper right corner",
d:82,ubuntu,analysis,c:13,"ubuntu 12.04 contains error reporting system named apport that can send error information to ubuntu center in case that something goes wrong on your system. there could be many reported issues caused with various reasons displaying the message error:
""sorry, ubuntu 12.04 has experienced an internal error""

","the only solution to stop displaying error messages is to disable the apport, the error reporting system:1) run the command : sudo gedit /etc/default/apport 2) change the value of the ""enabled"" parameter from ""1"" to ""0"" and save the changes
",
d:83,ubuntu,analysis,c:13,why there is no configuration option for changing default font type and size in ubuntu 12.04,"1) instal gnome tweak tool:     sudo apt-get install gnome-tweak-tool 2) start gnome tweak tool either by click on dash home and entering ""advanced settings"" or typing command ""gnome-tweak-tool"" in the terminal 3) gnome tweak tool window will appear 4) select the fonts section on the left 5) choose your preferent default font, document, monospace and window title font as well as font size and hinting and antialiasing types.",
d:84,ubuntu,application,c:13,gedit text editor is very slow in ubuntu 12.04 precise pangolin.how to solve?,"the solution is to disable file browser plugin in gedit.start gedit and select edit > preferences > choose plugins tab > deselect file browser panel plugin
",
d:85,chrome,analysis,c:2, have a webpage i want to use with yql. but i need the xpath of a specific item. i can see it in the debug tools area for google chrome but i don't see a way to copy that xpath.is there a way to copy a full xpath?,"i tried almost all the available extensions and found the below to be one of the best is chropath extension link ,just like firepath, this extension directly gives you the xpath when you click on inspect.",
d:86,chrome,knowledge,c:2,"i'd like for my chrome extension to reload every time i save a file in the extension folder, without having to explicitly click ""reload"" in chrome://extensions/. is this possible?","you can use ""extensions reloader"" for chrome:",
d:87,chrome,knowledge,c:2,is there any quick way of getting chrome to output timestamps in console.log writes (like firefox does). or is prepending new date().gettime() the only option?,"in chrome, there is the option is console settings (developer tools -> console -> settings [upper-right corner] ) named ""show timestamps"" which is exactly what i needed.",
d:88,chrome,application,c:2,how to search all loaded scripts in chrome developer tools?,search all files with control+shift+f or console->[search tab],
d:89,chrome,application,c:2,how do you clear the current basic authentication details when using chrome?,ctl+shit+delete,
d:90,chrome,analysis,c:2,"till 9.x, the headers were under the resources in the developer tools, but now i can't find it anywhere.","i'm not sure about your exact version, but chrome has a tab ""network"" with several items and when i click on them i can see the headers on the right in a tab.press f12 on windows or ⌥⌘i on a mac to bring up the chrome developer tools.also try chrome://net-internals/. ",
d:91,chrome,comprehension,c:2,"when using google chrome, i want to debug some javascript code. how can i do that?",the shortcut has since changed to ctrl-shift-j.,
d:92,chrome,application,c:2,how to detect chrome?,var ischrome = !!window.chrome && (!!window.chrome.webstore || !!window.chrome.runtime),
d:93,chrome,application,c:2,how to set a javascript breakpoint from code in chrome?,"you can use debugger; within your code. if the developer console is open, execution will break. it works in firebug as well.",
d:94,chrome,application,c:2, how do i manually fire http post requests with firefox or chrome?,make an ajax call in the chrome console. no extension needed. this is a good way to make post requests without the need to grab authentication cookies. $.post('/resource/path/'),
d:95,intellij,application,c:1,what is  the correct way to add external jars (lib/*.jar) to an intellij idea project,"steps for adding external jars in intellij idea:click file from the toolbar project structure (ctrl + shift + alt + s on windows/linux, ⌘ + ; on mac os x) select modules at the left panel '+' → jars or directories",
d:96,intellij,application,c:1,how to build jars from intellij properly,"file -> project structure -> project settings -> artifacts -> click green plus sign -> jar -> from modules with dependencies... the above sets the ""skeleton"" to where the jar will be saved to. to actually build and save it do the following:extract to the target jar ok build | build artifact",
d:97,intellij,analysis,c:1,intellij idea forge setup error,"check idea.log for errors. it may fail with outofmemory error in which case you can try increasing the heap size for maven importer (vm options for importer) and ide heap size.try not to exceed 750-1024m for -xmx value if you are running on a 32-bit jvm (default), otherwise it may crash or fail to start.if you need to use more heap, switch to 64-bit java and specify the same 64-bit jvm for maven (jdk for importer) in intellij idea settings.",
d:98,intellij,analysis,c:1,error: default activity not found,"

if you see that error occur after upgrading versions of intellij idea or android studio, or after generating a new apk, you may need to refresh the ide's cache. file -> invalidate caches / restart...
",
d:99,intellij,analysis,c:1,intellij can't recognize javafx 11 with openjdk 11,"as mentioned in the comments, the starting guide is the place to start with java 11 and javafx 11.the key to work as you did before java 11 is to understand that: javafx 11 is not part of the jdk anymore . you can get it in different flavors, either as an sdk or as regular dependencies (maven/gradle). you will need to include it to the module path of your project, even if your project is not modular.
",
d:100,intellij,analysis,c:1,intellij inspection gives “cannot resolve symbol” but still compiles code,"first of all you should try file | invalidate caches and if it doesn't help, delete idea system directory. then re-import the maven project and see if it helps.in some weird cases compiled classes may report wrong info and confuse idea. verify that the classes from this jar report correct names using javap.
",
d:101,intellij,analysis,c:1,getting “nosuchmethoderror: org.hamcrest.matcher.describemismatch” error when running test in intellij 10.5,"make sure the hamcrest jar is higher on the import order than your junit jar. junit comes with its own org.hamcrest.matcher class that is probably being used instead.you can also download and use the junit-dep-4.10.jar instead which is junit without the hamcrest classes.mockito also has the hamcrest classes in it as well, so you may need to move\reorder it as well
",
d:102,intellij,analysis,c:1,can't compile project when i'm using lombok under intellij idea,"i have fixed it in idea 12 by setting check box enable annotation processing in: settings -> compiler -> annotation processors for idea 2016.2: preferences... > build, execution, deployment > compiler > annotation processors

",
d:103,intellij,application,c:1,how to add directory to classpath in an application run profile in intellij idea?,"in intellij 13, it looks it's slightly different again. here are the instructions for intellij 13: click on the project view or unhide it by clicking on the ""1: project"" button on the left border of the window or by pressing alt + 1.find your project or sub-module and click on it to highlight it, then press f4, or right click and choose ""open module settings"" (on intellij 14 it became f12) .click on the dependencies tab.click the ""+"" button on the right and select ""jars or directories..."".find your path and click ok.in the dialog with ""choose categories of selected file"", choose classes (even if it's properties), press ok and ok again.you can now run your application and it will have the selected path in the class path

",
d:104,intellij,application,c:1,how to clear gradle cache?,gradle cache locates at: on windows: %user_home%\.gradle/caches/. on mac/unix: $home/.gradle/caches/.you can browse to these directory and manually delete it or run. rm -rf $home/.gradle/caches/ on unix system. run this command will also force to download dependencies.,
d:105,intellij,analysis,c:1,intellij inspection gives “cannot resolve symbol” but still compiles code,"first of all you should try file | invalidate caches and if it doesn't help, delete idea system directory. then re-import the maven project and see if it helps.in some weird cases compiled classes may report wrong info and confuse idea. verify that the classes from this jar report correct names using javap.
",
d:106,intellij,application,c:1,how do i turn off the unlimited whitespace in intellij editor?,"file menu -> settings -> editor -> general -> virtual space and uncheck 'allow placement of caret after end of line' . you may also uncheck the other options in the virtual space panel.
",
d:107,intellij,analysis,c:1,intellij - unable to use newer java 8 classes - error : “usage of api documented as @since 1.6+..”,"to get rid of this, you need to open up : file -> project structure -> project settings -> modules -> ""your module name"" -> sources -> language level and change that to the desired level i.e 1.8 or the project default language level",
d:108,intellij,analysis,c:1,error:java: invalid source release: 8 in intellij. what does it mean?,"in intellij 13.1.4 i had to change java and sdk version on the following places not to get this error: file -> project structure -> project settings .file -> project structure -> module settings -> tab: sources: language level.file -> project structure ->module settings -> tab: dependencies: module sdk. file -> settings -> compiler -> java compiler -> target bytecode version
",
d:109,intellij,analysis,c:1,intellij build error context mismatch,"the cause turned out to be that i had defined a new configuration in the ""run/debug configurations"" dialog and put the full path to the build.gradle file in the gradle project: field, as follows. (i did this by clicking the ellipsis (...) button to the right of the field, but i could also have entered it directly.)",
d:110,intellij,analysis,c:1,intellij says 'cannot run program '/path/to/tomcat/bin/catalina.sh' error=13 permission denied,"in short, from a console: chmod a+x /path/to/tomcat/bin/catalina.sh.this assumes that you 've elided the tomcat path in your post, and checked that it really does exist on your system before posting here. depending on the existing permissions of the file,you may need to issue the above command as a user with sufficiently elevated privileges.
",
d:111,intellij,analysis,c:1,intellij gives fatal error: unable to find package java.lang in classpath or bootclasspath,"somehow the jdk language jars were removed from the classpath. all i had to do was reapply the jsdk home path.goto: file -> project structure -> platform settings -> sdks re-apply the jsdk home path.doing this added about 15 jars to the classpath. apparently these are important for compiling.
",
